AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1243,Database Architects,detailed,710,9.8,0.266,0.67,,,72.4,150590,4.6,41.09,52.98,67.07,85.78,,85470,110200,139510,178420,,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,8040,4.3,3.002,1.41,,,55.91,116300,1.7,31.22,40.31,51.78,67.67,81.37,64930,83850,107690,140750,169240,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,2980,19.7,1.115,1.41,,,52.65,109520,6.4,27.95,38.47,49.7,64.5,76.85,58130,80020,103380,134160,159850,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,30700,4.2,11.465,1.05,,,72.47,150740,1.9,41.44,52.11,66.37,83.68,104.23,86200,108380,138050,174050,216800,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1253,Software Quality Assurance Analysts and Testers,detailed,7440,7.1,2.779,2.08,,,57.49,119570,2.1,29.53,40.86,54.49,69.26,86.45,61410,85000,113330,144060,179810,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1254,Web Developers,detailed,2070,9.5,0.772,1.37,,,46.88,97510,3.6,28.52,32.8,39.98,53.6,72.18,59320,68210,83150,111490,150140,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1255,Web and Digital Interface Designers,detailed,1260,10.3,0.471,0.64,,,44.44,92440,1.8,26.9,35.77,41.14,51.34,65.53,55940,74400,85560,106780,136310,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,21560,6.6,8.052,2.8,,,64.72,134610,3.8,37.61,52.83,65.26,76.36,82.72,78220,109890,135740,158830,172060,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,540,5.7,0.202,1.21,,,55.5,115430,1,36.71,38.45,50.69,68.33,82.72,76350,79970,105440,142130,172060,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-2021,Mathematicians,detailed,170,6.9,0.065,4.44,,,63.48,132050,3.7,36.75,45.28,62.35,82.72,88.22,76440,94180,129690,172060,183500,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,3730,8.2,1.391,1.79,,,54.06,112450,1.7,28.65,36.67,53.4,67.88,82.06,59580,76270,111080,141190,170680,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-2041,Statisticians,detailed,3020,1.5,1.129,5.72,,,61.14,127170,0.6,39.15,50.1,59.23,70,80.6,81440,104210,123200,145600,167650,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2170,7.6,0.81,0.64,,,60.59,126020,1.9,36.62,44.91,60.32,75.6,84.13,76170,93410,125460,157260,174990,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,15-2099,"Mathematical Science Occupations, All Other",detailed,110,10.5,0.041,1.43,,,38.63,80360,16.2,16.41,18.42,20.91,53.99,87.92,34130,38310,43490,112290,182880,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-1011,"Architects, Except Landscape and Naval",detailed,2200,9.5,0.82,1.12,,,48.59,101060,4.3,28.76,34.47,41.51,56.97,73.82,59830,71700,86340,118500,153540,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-1012,Landscape Architects,detailed,620,19.3,0.231,1.72,,,40.4,84030,4.5,24.56,31.66,37.59,48.46,55.55,51080,65850,78190,100790,115550,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-1021,Cartographers and Photogrammetrists,detailed,570,26.1,0.213,2.63,,,42.81,89040,1.8,28.54,31.39,38.74,49,59.3,59360,65300,80580,101920,123350,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-1022,Surveyors,detailed,1390,13.8,0.518,1.55,,,32.2,66980,3.6,18.73,23.48,29.1,38.3,47.04,38960,48830,60520,79660,97840,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2011,Aerospace Engineers,detailed,2810,8.6,1.05,2.39,,,73.17,152180,3.7,41.47,54.97,70,87.33,107.78,86250,114340,145600,181650,224180,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2031,Bioengineers and Biomedical Engineers,detailed,470,17.3,0.176,1.39,,,53.59,111470,2.8,34.44,41.49,52.14,62.53,73.44,71620,86290,108450,130060,152760,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2041,Chemical Engineers,detailed,550,6.8,0.206,1.48,,,59.77,124330,2.8,30.42,43.83,58.87,73.37,86.07,63280,91160,122450,152610,179030,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,detailed,4840,6.8,1.807,0.84,,,48.1,100040,2,30.99,36.67,45.18,54.71,71.01,64470,76270,93970,113790,147700,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2061,Computer Hardware Engineers,detailed,2510,10.5,0.937,1.72,,,67.88,141200,1.8,41.99,52.73,65.95,82.72,91.93,87340,109680,137170,172060,191210,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2071,Electrical Engineers,detailed,3950,6.8,1.477,1.21,,,58.43,121530,2.6,31.79,41.61,57.81,69.71,84.38,66110,86540,120240,145000,175510,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2072,"Electronics Engineers, Except Computer",detailed,3110,4.3,1.161,1.83,,,67.55,140500,1,41.56,53.62,69.52,82.67,88.22,86440,111530,144600,171950,183500,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2081,Environmental Engineers,detailed,540,8.1,0.2,0.76,,,50.59,105230,3.2,29.25,31.94,47.32,65.35,79.31,60840,66440,98430,135920,164960,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,600,16.2,0.223,1.51,,,56.83,118200,8.1,35.78,39.52,50.49,68.49,87.33,74420,82190,105020,142460,181650,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,2910,6.6,1.087,0.5,,,56.95,118460,1.4,36.39,44.4,51.57,65.71,81.43,75700,92350,107260,136680,169380,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2121,Marine Engineers and Naval Architects,detailed,400,14,0.15,2.29,,,61.23,127360,5.7,38.15,40.77,51.01,71.28,88.22,79350,84800,106100,148260,183500,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2131,Materials Engineers,detailed,910,11.8,0.34,2.09,,,62.38,129750,2.2,43.3,48.99,61.74,75.17,85.38,90060,101900,128410,156350,177590,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2141,Mechanical Engineers,detailed,5600,6.9,2.093,1.13,,,54.37,113090,2,33.59,39.84,51.1,65.65,81.92,69860,82860,106280,136560,170400,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,50,37.1,0.02,0.43,,,39.62,82420,3.7,24.67,36.09,40.36,44.89,45.54,51310,75060,83940,93380,94720,,
